Instance,Contractor(s),Date Type,Date,Misconduct Type,Disposition Type,Court Type,Enforcement Agency,Contracting Party,Total Penalties
Misclassifying Workers - Massachusetts Citations,FedEx Corporation,Date of Citations,12/19/2007,Labor,Fine,Administrative,State/Local,None,190500
USA v. Bistrong (FCPA Violation),"Armor Holdings, Inc.",Date of Charging,1/21/2010,Ethics,Pleaded Guilty,Criminal,Justice,None,0
ICM Controls Corp. v. Honeywell International (Patent Infringement),Honeywell International Inc.,Date of Complaint,11/30/2012,Intellectual Property,Pending,Civil,Non-Governmental,None,0
Baton Rouge Plant Toxic Chemical Releases,Honeywell International Inc.,Date of Settlement,9/29/2009,Environment,Settlement,Civil,EPA,None,550000
Failure to Permit Audit of ND Leases,Exxon Mobil,Date of Fine Announcement,2/18/2015,Other,Fine,N/A,Interior,None,1334000
Deceptive Advertising in New York Copayment Coupon Program,"Pfizer, Inc.",Date of Settlement Announcement,10/11/2018,Consumer Affairs,Settlement,N/A,State/Local,None,700000
Keshock et al. v. Metabowerke GmbH et al. (Unsafe Workplace),"Austal USA, LLC",Date of Amended Complaint,6/28/2016,Labor,Pending,Civil,Non-Governmental,None,0
December 2008 Hornet Jet Crash,Boeing Company,Date of Filing,7/28/2010,Poor Contract Performance,Pending,Civil,Non-Governmental,Defense - Navy,0
Foreign Corrupt Practices Act SEC Investigation,Daimler AG,Date of Settlement Announcement,4/1/2010,Securities,Settlement,Civil,SEC,None,91400000
Multistate Avandia Settlement (November 2012),GlaxoSmithKline,Date of Settlement Announcement,11/15/2012,Health,Settlement,Civil,State/Local,None,90000000
"Smith, et al. v. DaimlerChrysler Services North America (Equal Credit Opportunity Act Violation)",Daimler AG,Date of Settlement,6/17/2005,Consumer Affairs,Settlement,Civil,Non-Governmental,None,1800000
"Underpayment of Wages at Battle Command Training Center, Fort Bragg, NC",General Dynamics,Date of Case Resolution,11/10/2010,Labor,Restitution,N/A,Labor,Defense - Army,194009
TCEQ Fine for May - Sept. 2008 Emissions Event,Valero Energy Corp.,Date of Fine Announcement,10/18/2011,Environment,Fine,Administrative,State/Local,None,591798
"Underpayment of Wages at Camp Parks, CA",General Dynamics,Date of Case Resolution,3/8/2013,Labor,Restitution,N/A,Labor,Defense - Army,104128
Workplace Safety Violations (Texas City Refinery),BP P.L.C.,Date of Settlement,9/22/2005,Labor,Fine,Administrative,Labor - OSHA,None,21361500
Failure to Disclose Projected Pension Fund Increases During Contract Negotiations,Westinghouse Electric Corp.,Date of Settlement Announcement,10/31/2008,Government Contract Fraud,Settlement,Civil,Energy,Energy,38092000
Medical Initiatives Syringe Program - Criminal Settlement,AmerisourceBergen,Date of Announcement,8/3/2017,Health,Pleaded Guilty,Criminal,Multiple Agencies,None,260000000
Worker Plutonium Exposure (Savannah River Site),Westinghouse Electric Corp.,Date of Fine,7/24/2000,Labor,Fine,Administrative,Energy,Energy,220000
EpiPen Television Ad Settlement - Oregon,"Pfizer, Inc.",Date of Settlement,12/20/2012,Consumer Affairs,Settlement,Civil,State/Local,None,1000000
"West Virginia ""Pill Mill"" Lawsuit","AmerisourceBergen, Cardinal Health, Inc., Court Square Capital Partners",Date of Complaint,6/26/2012,Health,Settlement,Civil,State/Local,None,20000000
Violations of Technical Safety Requirements,Fluor Corporation,Date of PNOV,12/16/2005,Labor,Fine,Administrative,Energy,Energy,206250
Municipal Derivatives Antitrust Litigation,General Electric,Date of Settlement Agreement,12/6/2013,Antitrust,Settlement,Civil,Non-Governmental,None,18250000
Improperly Restrictive Confidentiality Agreement,KBR,Date of Order,4/1/2015,Labor,Fine,Administrative,SEC,None,130000
Guevara v. Maersk (Negligence),AP Moller-Maersk A/S,Date of Filing,9/15/2010,Consumer Affairs,Pending,Civil,Non-Governmental,None,0
Inadequate Internal Accounting Controls and Failure to Maintain Accurate Books and Records from 2011 to 2014,L-3 Communications,Date of SEC Order,1/11/2017,Securities,Settlement,Administrative,SEC,Defense - Army,1600000
Visible Systems v. Unisys (Trademark Infringement),Unisys Corporation,Date of Final Judgment,11/2/2007,Intellectual Property,Judgment Against Defendant,Civil,Non-Governmental,None,267555
FDA Review of Gleevec Promotional Material,Novartis AG,Date of FDA Warning Letter,4/21/2010,Health,Investigative Finding,N/A,Health and Human Services,None,0
Illegal Storage of Hazardous Waste in Illinois (Criminal Prosecution),Honeywell International Inc.,Date of Plea,3/11/2011,Environment,Pleaded Guilty,Criminal,Justice,None,12000400
Incorrect Emission Reporting,Valero Energy Corp.,Date of Settlement Conference,2/4/2003,Environment,Settlement,Administrative,State/Local,None,10000
Doyle v. Humana (Obamacare Implementation Unfair Practices),Humana,Date of Complaint,1/27/2014,Consumer Affairs,Pending,Civil,Non-Governmental,None,0
"Federal and State Clean Air Violations in Norco, LA",Royal Dutch Shell PLC,Date of Consent Decree,2/12/2018,Environment,Settlement,Civil,Multiple Agencies,None,10350000
Worldwide Network Services v. DynCorp (Breach of Contract),DynCorp International Inc.,Date of Verdict,5/14/2008,Poor Contract Performance,Judgment Against Defendant,Civil,Non-Governmental,Non-Governmental,11008111
"Abtan v. Blackwater (Sept. 16, 2007 Baghdad Shooting)",Blackwater USA,Date of Filing,10/11/2007,Human Rights,Settlement,Civil,Non-Governmental,State Dept.,Undisclosed/Unknown
U.S. v. Schroeder (Hanford Time Card Fraud),"CH2M Hill Companies, Ltd.",Date of Plea,11/3/2011,Government Contract Fraud,Pleaded Guilty,Criminal,Justice,Energy,25100
Indonesian Torture,Exxon Mobil,Date of Complaint,6/11/2001,Human Rights,Pending,Civil,Non-Governmental,None,0
"2008 Oil Spill in Giles County, VA",Foster Fuels Inc.,Date of Consent Order,7/24/2009,Environment,Settlement,Administrative,State/Local,None,20420
Defense Commissary Agency Contract Fraudulent Billing,Computer Sciences Corporation,Date of Settlement - approx.,7/12/2000,Government Contract Fraud,Settlement,Civil,Defense - Army,Defense - Army,8730
Beazer Homes Securities Litigation,Deloitte LLP,Date of Amended Complaint,6/27/2008,Securities,Settlement,Civil,Non-Governmental,None,950000
Medicare/Medicaid False Billings,University of California,Date of Settlement - approximate,2/1/2001,Government Contract Fraud,Settlement,Civil,Health and Human Services,Health and Human Services,22500000
Bribery and Corruption Global Settlement,Rolls-Royce PLC,Date of Settlement Announcement,1/16/2017,Ethics,Deferred Prosecution Agreement,Criminal,Multiple Agencies,None,800305272
Air Quality Violations at Benicia Refinery in 2011 and 2012,Valero Energy Corp.,Date of Settlement Announcement,10/22/2013,Environment,Settlement,Administrative,State/Local,None,300300
RCRA Violation at Agrifos Fertilizer Site,Exxon Mobil,Date of Settlement Announcement,9/29/2010,Environment,Settlement,Administrative,EPA,None,Undisclosed/Unknown
2011 Safety and Health Violations at Brookhaven National Lab,"Brookhaven Science Associates, LLC",Date of PNOV,8/29/2013,Labor,Restitution,Administrative,Energy,Energy,959595
August 2013 Louisiana Department of Environmental Quality Settlement,Exxon Mobil,Date of Settlement Announcement,8/23/2013,Environment,Settlement,Administrative,State/Local,None,2390912
Price Fixing in El Salvador,Exxon Mobil,Date of Announcement,10/2/2007,Antitrust,Fine,Administrative,International,None,852000
Texas City Refinery Explosion - Guilty Plea,BP P.L.C.,Date of Plea,10/25/2007,Labor,Pleaded Guilty,Criminal,Multiple Agencies,None,50000400
Berk v. Express Scripts (Unpaid Wages),Express Scripts Holding Company,Date of Complaint,4/8/2014,Labor,Pending,Civil,Non-Governmental,None,0
Government Overbilling,GTSI Corporation,Date of Settlement Announcement,10/10/1997,Defective Pricing,Settlement,Civil,GSA,GSA,400000
"Clean Air Act Violations (Toledo, OH)",BP P.L.C.,Date of Announcement,3/15/1999,Environment,Settlement,Civil,EPA,None,1750000
U.S. ex rel. Adler v. General Electric Aviation Systems (Aviation Components False Claims),General Electric,Date of Settlement Announcement,6/26/2013,Government Contract Fraud,Settlement,Civil,Defense - General,Defense - General,6580000
Emissions Violations,General Electric,Date of Fine,3/22/1996,Environment,Fine,Administrative,EPA,None,225000
Violations of Texas City Refinery OSHA Settlement,BP P.L.C.,Date of Proposed Penalty Announcement,10/30/2009,Labor,Fine,Administrative,Labor - OSHA,None,63627000
Discriminatory Employment Eligibility Verification Process,BAE Systems,Date of Settlement Announcement,12/28/2011,Labor,Settlement,Civil,Justice,None,53900
Hawaii Average Wholesale Price Litigation,"Merck & Co., Inc.",Date of Settlement Announcement,10/6/2010,Antitrust,Settlement,Civil,State/Local,None,28000000
Braden v. Lockheed Martin (Age Discrimination),Lockheed Martin,Date of Verdict,1/26/2017,Labor,Judgment Against Defendant,Civil,Non-Governmental,None,1560000
Environmental Violations in Kazakhstan,ChevronTexaco Corporation,Date of Media Accounts,10/4/2007,Environment,Fine,Administrative,International,None,Undisclosed/Unknown
Project Quality Deficiencies/Nuclear Violations,Fluor Corporation,Date of Preliminary Notice of Violation,5/26/1999,Labor,Fine,Administrative,Energy,Energy,330000
U.S. ex rel. Castaneda v. Bechtel (TVA False Claims),Bechtel Corporation,Date of Complaint,3/17/2014,Government Contract Fraud,Pending,Civil,Non-Governmental,TVA,0
Space Launch Information Transfer to China (Arms Export Violation),Lockheed Martin,Date of Settlement,6/13/2000,Import/Export,Administrative Agreement,Administrative,State Dept.,International,13000000
"Frederiksen v. KBR (Employment Discrimination, Harassment and Retaliation)",KBR,Date of Filing,6/29/2009,Labor,Pending,Civil,Non-Governmental,Defense - Army,0
U.S. ex. rel. Mlaker and Jurczyk v. United Healthcare Services,UnitedHealth Group,Date of Complaint,10/24/2016,Government Contract Fraud,Pending,Civil,Non-Governmental,Health and Human Services,0
Violations of Texas Environmental Regulations,BP P.L.C.,Date of Agreed Order,6/5/2006,Environment,Fine,Administrative,State/Local,None,130625
"Global NAPs, Inc. v. Verizon Communications et al. (Violation of Merger Order)","Verizon Communications, Inc.",Date of Opinion,2/21/2002,Poor Contract Performance,Judgment Against Defendant,Administrative,FCC,Non-Governmental,0
Morgan-Mapp v. The GEO Group (Wrongful Death),GEO Group,Date of Complaint,7/18/2007,Human Rights,Settlement,Civil,Non-Governmental,State/Local,Undisclosed/Unknown
"Blasdell v. SpaceX (Wrongful Termination, Whistleblower Retaliation)",SpaceX,Date of Complaint,4/1/2016,Labor,Pending,Civil,Non-Governmental,NASA,0
Miami-Dade County Transit Security Officers Contract Audit,G4S PLC,Date of Audit Report,4/24/2008,Government Contract Fraud,Investigative Finding,N/A,State/Local,State/Local,Undisclosed/Unknown
Container Transportation Cartel on Routes Between Russia and the Far East/Southeast Asia,AP Moller-Maersk A/S,Date of Ruling,12/22/2015,Antitrust,Settlement,Administrative,International,None,230000
GMP Deviations at PA and NY Facilities,Wyeth,Date of Announcement,10/3/2000,Health,Administrative Agreement,Administrative,Health and Human Services,None,30000000
Underpayment of Wages at HHS Call Centers,General Dynamics,Date of Lawsuit Announcement,1/31/2018,Labor,Pending,Administrative,Non-Governmental,Health and Human Services,0
Water Pollution and Contamination (New York),Honeywell International Inc.,Date of Announcement,2/17/2004,Environment,Administrative Agreement,Administrative,State/Local,None,4200000
2010 Gulf of Mexico Oil Spill - Mexican Government Lawsuit,"BP P.L.C., Halliburton",Date of Settlement,2/15/2018,Environment,Settlement,Civil,International,None,0
Race and Sex Discrimination at Applied Physics Laboratory,Johns Hopkins University,Date of Settlement Announcement,1/22/2015,Labor,Settlement,Civil,Labor,None,359253
B-2 Bomber Advance Topcoat System Fraud Investigation,Northrop Grumman,Date of Settlement Announcement,12/8/2010,Government Contract Fraud,Settlement,Civil,Defense - Air Force,Defense - Air Force,5210000
Maresca v. Wackenhut (California Labor Violation Class-Action),G4S PLC,Date of Settlement,8/23/2016,Labor,Settlement,Civil,Non-Governmental,None,2000000
Pennington v. Fluor (Unpaid Wages),Fluor Corporation,Date of Complaint,8/8/2017,Labor,Pending,Civil,Non-Governmental,State/Local,0
Daniel v. Wyeth (Prempro),Wyeth,Date of Appellate Court Ruling,2/7/2011,Health,Judgment Against Defendant,Civil,Non-Governmental,None,1681650
U.S. v. Simmons (Afghanistan Reconstruction Fraud),PAE Holding Corporation,Date of Plea,5/23/2014,Government Contract Fraud,Pleaded Guilty,Criminal,Multiple Agencies,State Dept.,0
Compensation Issues Regarding the Development of an IT System,Electronic Data Systems,Date of Settlement,11/22/2005,Tax,Settlement,Civil,International,International,121800000
Good v. Fluor Daniel Corp. (Worker Safety),Fluor Corporation,"",3/23/2007,Labor,Settlement,Civil,Non-Governmental,Energy,Undisclosed/Unknown
Neurontin Marketing and Sales Practices Litigation,"Pfizer, Inc.",Date of Final Judgment,11/3/2010,Health,Judgment Against Defendant,Civil,Non-Governmental,None,467089276
"Hogan v. BP, et al. (Exposure to Corexit)",Halliburton,Date of Complaint,5/2/2012,Health,Pending,Civil,Non-Governmental,None,0
"Calobrisi v. Booz Allen Hamilton (Age and Sex Discrimination, Retaliation)",Booz Allen Hamilton,Date of Complaint,5/31/2013,Labor,Pending,Civil,Non-Governmental,None,0
Violating Antitrust Premerger Notification Requirements,MacAndrews AMG Holdings,Date of Final Judgment,6/20/2013,Antitrust,Settlement,Civil,Multiple Agencies,None,720000
"Cherokee Nation v. McKesson Corp., et al. (Prescription Opioid Epidemic)","AmerisourceBergen, Cardinal Health, Inc., McKesson",Date of Complaint,4/20/2017,Health,Pending,Civil,State/Local,None,0
Overcharging and Other Procurement Irregularities (Balkans),KBR,"",11/29/2006,Cost/Labor Mischarge,Settlement,Civil,Defense - Army,Defense - Army,8000000
Clean Water Act Violation at XTO Energy's Penn Township Facility,Exxon Mobil,Date of Settlement Announcement,7/18/2013,Environment,Settlement,Civil,Multiple Agencies,None,20100000
Nigeria LNG Contracts Bribery (UK Prosecution),KBR,Date of Settlement Announcement,2/16/2011,Ethics,Settlement,Criminal,International,None,5110949
Fenner v. General Motors (Evading Emissions Standards),General Motors Corp.,Date of Complaint,5/25/2017,Environment,Pending,Civil,Non-Governmental,None,0
Military Aircraft Engine Contract Violations,General Electric,Date of Settlement Announcement,12/19/2016,Poor Contract Performance,Settlement,Civil,Multiple Agencies,Defense - General,2550180
Unauthorized Air Emissions in Texas,Valero Energy Corp.,Date of Announcement,2/11/2009,Environment,Fine,Administrative,State/Local,None,181200
Totaro v. LLNS (Violation of USERRA),Lawrence Livermore Nat'l Security,Date of Complaint,10/31/2011,Labor,Settlement,Civil,Non-Governmental,Energy,Undisclosed/Unknown
Property Tax Computer System Contract,Unisys Corporation,Date of Complaint,1/18/2012,Poor Contract Performance,Settlement,Civil,State/Local,State/Local,4800000
"United States ex rel. Beattie, et al. v COMSAT (Alleged Contract Fraud)",Lockheed Martin,Date of Settlement,8/27/2001,Government Contract Fraud,Settlement,Civil,Defense - Navy,Defense - Navy,8500000
Massachusetts Clean Up Violation,Exxon Mobil,Date of Fine,10/19/2005,Environment,Fine,Administrative,State/Local,None,43984
Sharon Steel Corp/Fairmont Coke Works Superfund Site Cleanup,Exxon Mobil,Date of Consent Decree,10/17/2018,Environment,Settlement,Civil,Multiple Agencies,None,250000
Boardroom Leak Investigation (SEC),Hewlett-Packard Company,Date of Order,5/23/2007,Securities,Settlement,Administrative,SEC,None,0
Birth Injury,University of Chicago,Date of Verdict - approximate,1/1/2002,Consumer Affairs,Judgment Against Defendant,Civil,Non-Governmental,None,11670900
Export Administration Regulations Violations,Northrop Grumman,Date of Announcement,1/25/2008,Import/Export,Fine,Administrative,Commerce,None,400000
Academy of Medicine of Cincinnati v. Humana Health Plan of Ohio Inc. (Antitrust),Humana,Date of Settlement,10/23/2003,Antitrust,Settlement,Civil,Non-Governmental,None,106000000
Clean Water Act Violations in Puerto Rico,Royal Dutch Shell PLC,Date of Announcement,1/12/2009,Environment,Settlement,Civil,EPA,None,1298800
White Oak Fund LP v. BP et al. (Crude Oil Price Fixing),"BP P.L.C., Royal Dutch Shell PLC",Date of Complaint,7/1/2013,Antitrust,Pending,Civil,Non-Governmental,None,0
Cunningham v. GSK (Paxil Wrongful Death),GlaxoSmithKline,Date of Filing,7/10/2006,Health,Settlement,Civil,Non-Governmental,None,Undisclosed/Unknown
"Valero Refining-Texas v. KBR, et al. (Breach of Contract, Negligence)",KBR,Date of Complaint,8/2/2012,Non-governmental Contract Fraud,Pending,Civil,Non-Governmental,Non-Governmental,0
Totten v. KBR (Molycorp Mountain Pass Wage Lawsuit),KBR,Date of Settlement Announcement,7/31/2017,Labor,Settlement,Civil,Non-Governmental,None,3750000
SEC Investigation,Interpublic Group of Companies,Date of Settlement,5/1/2008,Securities,Settlement,Administrative,SEC,None,12139272
Bypassed Relays for the Pressure Safety High/Low For Four Producing Wells,BP P.L.C.,Date of Penalty,1/9/2003,Environment,Fine,Administrative,Interior,None,80000
Immigration-Related Employment Discrimination at UCSD Medical Center,University of California,Date of Complaint,12/6/2011,Labor,Settlement,Administrative,Justice,None,115000
Pricing Irregularities in Northeastern Corridor Fares,Patriot Team,Date of DoT Letter,7/24/2015,Antitrust,Pending,N/A,Transportation,None,0
Funk v. Mission Essential Personnel (Unqualified Translators),"Mission Essential Personnel, LLC",Date of 2nd Amended Complaint,10/7/2010,Government Contract Fraud,Settlement,Civil,Non-Governmental,Defense - Army,Undisclosed/Unknown
Boyd v. Harris Corporation (Workers' Compensation),Harris Corporation,Date of Settlement Approval,3/18/2003,Labor,Settlement,Administrative,Labor,None,Undisclosed/Unknown
Texas City Refinery Illegal Emissions - 2011 Settlement of Texas Enforcement Actions,BP P.L.C.,Date of Settlement Announcement,11/3/2011,Environment,Settlement,Civil,State/Local,None,50000000
April and December 2000 V-22 Osprey Crashes,"Boeing Company, Textron, Inc.",Date of Settlement Announcement,4/20/2002,Consumer Affairs,Settlement,Civil,Non-Governmental,Defense - General,Undisclosed/Unknown
San Diego Bay Fuel Discharge,BAE Systems,Date of Settlement Announcement,2/17/2015,Environment,Settlement,Civil,State/Local,None,54135
FCPA Violations in Angola,Halliburton,Date of Order,7/27/2017,Ethics,Settlement,Administrative,SEC,International,29275000
Diesel Exhaust Emission Lawsuit,"ChevronTexaco Corporation, Exxon Mobil",Date of Complaint,6/12/2012,Health,Pending,Civil,Non-Governmental,None,0
U.S. ex rel. Schroeder v. CH2M Hill (Hanford Time Card Fraud),"CH2M Hill Companies, Ltd.",Date of Non-Prosecution Agreement,3/6/2013,Government Contract Fraud,Non-Prosecution Agreement,Criminal,Justice,Energy,19000000
Improper Professional Conduct (Delphi),Deloitte LLP,Date of Settlement,2/26/2008,Ethics,Settlement,Administrative,SEC,None,0
Colorado Natural Gas Pipeline Explosion OSHA Fine,"BP P.L.C., Halliburton",Date of Citations,12/19/2012,Labor,Fine,Administrative,Labor - OSHA,None,14000
Intelligence Contract Labor Mischarging,SAIC,Date of ICIG Report,6/21/2013,Government Contract Fraud,Investigative Finding,N/A,ICIG,ODNI,20998
Government Investigation of Cost Accounting and Indirect Cost Charging Practices,Booz Allen Hamilton,Date of 8-K,6/15/2017,Cost/Labor Mischarge,Pending,N/A,Justice,Defense - General,0
Winston et al. v. Academi Training Center (Whistleblower Retaliation),Blackwater USA,Date of Complaint,7/12/2012,Labor,Pending,Civil,Non-Governmental,State Dept.,0
Pantano Wash Hazardous Waste Disposal Settlement,"Textron, Inc.",Date of Settlement Announcement,11/10/2010,Environment,Settlement,Civil,State/Local,None,30000
Review of USAID Bank Supervision Assistance in Afghanistan,Deloitte LLP,Date of USAID IG Report,3/16/2011,Poor Contract Performance,Investigative Finding,N/A,USAID,USAID,0
False Claims on Military Contracts,"SRA International, Inc.",Date of Settlement Announcement,6/30/2016,Government Contract Fraud,Settlement,Civil,Justice,Defense - Army,1105087
"Billing for Phantom, Unqualified Employee",Aerospace Corporation,Date of Settlement Announcement,12/6/2011,Government Contract Fraud,Settlement,Civil,Multiple Agencies,Defense - Air Force,2500000
Army and Coast Guard Contract Labor Mischarging,"DRS Technologies, Inc.",Date of Settlement Announcement,10/7/2014,Government Contract Fraud,Settlement,Civil,Multiple Agencies,Multiple Agencies,13700000
Baton Rouge Refinery OSHA Violations,Exxon Mobil,Date of Citation,9/12/2011,Labor,Fine,Administrative,Labor - OSHA,None,126600
Discrimination Against Transgender Enrollees,"Health Net, Inc.",Date of Letter of Agreement,7/24/2017,Consumer Affairs,Fine,Administrative,State/Local,None,200000
Defective Ranges and Dishwashers,General Electric,Date of Settlement,2/13/2015,Consumer Affairs,Settlement,Administrative,CPSC,None,3500000
Wedgetail Project (Arms Export Control Act Violation),Boeing Company,Date of Agreement,3/30/2001,Import/Export,Administrative Agreement,Administrative,State Dept.,Defense - Air Force,4200000
Stout v. United Airlines (Sexual Harassment),Patriot Team,Date of Settlement Announcement,3/23/2009,Labor,Settlement,Civil,Non-Governmental,None,Undisclosed/Unknown
Realtimezone v. Halliburton (Patent Infringement),Halliburton,Date of Filing,6/26/2009,Intellectual Property,Pending,Civil,Non-Governmental,Non-Governmental,0
Yellowstone River Oil Spill Lawsuit,Exxon Mobil,Date of Complaint,10/4/2011,Environment,Settlement,Civil,Non-Governmental,None,2000000
ANHAM FZCO v. Exelis Systems Corp. (Breach of Contract),Exelis,Date of Complaint,8/29/2013,Non-governmental Contract Fraud,Settlement,Civil,Non-Governmental,Non-Governmental,Undisclosed/Unknown
Design and Construction Failures,Fluor Corporation,Date of Arbitration Decision,5/16/2002,Poor Contract Performance,Settlement,Administrative,Non-Governmental,International,24000000
"City of Birmingham v. AmerisourceBergen, et al. (Prescription Opioid Epidemic)","AmerisourceBergen, Cardinal Health, Inc., McKesson",Date of Complaint,8/14/2017,Health,Pending,Civil,State/Local,None,0
Moulder v. Fluor Intercontinental (Wrongful Death),Fluor Corporation,Date of Complaint,7/17/2008,Consumer Affairs,Pending,Civil,Non-Governmental,Defense - Army,0
False Claims on Army Truck Contract,BAE Systems,Date of Complaint,6/18/2015,Government Contract Fraud,Settlement,Civil,Justice,Defense - Army,0
Alleged Corruption in Sale of Nigerian Oil Block - Nigerian Charges,Royal Dutch Shell PLC,Date of Charges,3/3/2017,Government Contract Fraud,Pending,Criminal,International,International,0
Double Billing,SAIC,Date of Report,5/2/2006,Cost/Labor Mischarge,Administrative Agreement,Administrative,Justice,Justice,26335
Quintana v. Boeing (KC-135 Labor Overbilling),Boeing Company,Date of Announcement,8/11/2009,Government Contract Fraud,Settlement,Civil,Defense - Air Force,Defense - Air Force,2000000
Hall Litigation (Personal Injury and Property Damage),"McDermott, Inc.",Date of Settlement,1/1/1998,Health,Settlement,Civil,Non-Governmental,NRC,8000000
Aleman et al. v. Chugach (Racial/National Origin Discrimination),Chugach Alaska Corporation,Date of EEOC Determination,8/17/2004,Labor,Judgment Against Defendant,Administrative,EEOC,None,0
McDonnell et al. v. Royal Dutch Shell et al. (Crude Oil Price Fixing),"BP P.L.C., Royal Dutch Shell PLC",Date of Complaint,10/4/2013,Antitrust,Pending,Civil,Non-Governmental,None,0
Miami-Dade County Overbilling (Criminal Prosecutions),G4S PLC,Date of Arrests - approx.,9/10/2010,Government Contract Fraud,Pleaded Guilty,Criminal,State/Local,State/Local,0
"EEOC v. UPS (Religious Discrimination - Harrisburg, PA)","United Parcel Service, Inc.",Date of Settlement Announcement,2/17/2010,Labor,Settlement,Civil,EEOC,None,46000
Panalpina Group Foreign Bribery: DOJ Investigation,Royal Dutch Shell PLC,Date of Settlement Agreement,11/4/2010,Ethics,Deferred Prosecution Agreement,Criminal,Justice,None,30000000
Restraining Competition in Taiwan,"Dell, Inc.",Date of Fine Announcement,4/29/2015,Antitrust,Fine,Administrative,International,None,65000
Menendez v. Halliburton (Whistleblower Retaliation),Halliburton,Date of Claim,5/8/2006,Labor,Judgment Against Defendant,Administrative,Labor,None,30000
Shareholder Lawsuit (Reporting of Business Aircraft Sales),"Textron, Inc.",Date of Filing,8/12/2009,Securities,Pending,Civil,Non-Governmental,None,0
Federal Air Pollution Standards Violations,United Technologies Corporation,Date of Fine,6/27/2006,Environment,Fine,Civil,EPA,None,176000
DOE Enforcement Action (2003),"CH2M Hill Companies, Ltd.",Date of PNOV,8/29/2003,Labor,Fine,Administrative,Energy,Energy,82500
Criminal Conspiracy,BearingPoint Inc.,Date of Plea,11/16/2004,Securities,Pleaded Guilty,Criminal,Justice,None,100
Price-Anderson Violations - Pacific Northwest National Lab,Battelle Memorial Institute,Date of PNOV,1/3/2008,Labor,Fine,Administrative,Energy,Energy,288750
Accounting Irregularities,Electronic Data Systems,Date of Settlement,9/25/2007,Securities,Settlement,Administrative,SEC,None,490902
"Meacham, et al. v. Knolls Atomic Power Laboratory (Age Discrimination)",Lockheed Martin,Date of Supreme Court Opinion,6/19/2008,Labor,Settlement,Civil,Non-Governmental,Energy,Undisclosed/Unknown
Wind Farm Construction Safety Breach,Fluor Corporation,Date of Sentencing Announcement,10/2/2015,Labor,Found Guilty,Criminal,International,None,831230
Allied Chemical-Ironton Coke Superfund Site Settlement,Honeywell International Inc.,Date of Announcement,3/31/2010,Environment,Settlement,Civil,EPA,None,10000000
Providing Materially Misleading Financial Statements,IBM Corporation,Date of Settlement,6/5/2007,Securities,Settlement,Administrative,SEC,None,0
Scull v. The Wackenhut Corporation (Whistleblower Retaliation),G4S PLC,Date of Complaint,6/4/2010,Labor,Judgment Against Defendant,Civil,Non-Governmental,None,400000
New Hampshire MTBE Pollution Lawsuit,Exxon Mobil,Date of Complaint,9/30/2003,Environment,Judgment Against Defendant,Civil,State/Local,None,236000000
Violations of the Age Discrimination in Employment Act,Honeywell International Inc.,Date of Settlement,10/4/2004,Labor,Settlement,Civil,EEOC,None,2150000
Nuclear Safety Violations at Los Alamos Lab (2007),University of California,Date of PNOV,2/26/2007,Environment,Fine,Administrative,Energy,Energy,1100000
"Martinez v. Management and Training Corp., et al. (Wrongful Death)",Management & Training Corp.,Date of Filing,6/27/2006,Human Rights,Settlement,Civil,Non-Governmental,None,Undisclosed/Unknown
"Pratt v. Alliant Techsystems, Inc. and Hercules, Inc. (Overcharging the Government)",Alliant Techsystems Inc.,Date of Settlement,3/30/1998,Cost/Labor Mischarge,Settlement,Civil,Defense - Navy,Defense - Navy,2250000
Balderrama v. Lockheed Martin (Retaliatory Firing),Lockheed Martin,Date of Verdict Announcement,3/13/2015,Labor,Judgment Against Defendant,Civil,Non-Governmental,None,830000
Surface-Controlled Subsurface Safety Valve Violation,BP P.L.C.,Date of Penalty,7/23/2003,Environment,Fine,Administrative,Interior,None,20000
JPATS Program False Claims Act Lawsuit,"Hawker Beechcraft, Inc.",Date of Complaint,7/27/2007,Government Contract Fraud,Pending,Civil,Non-Governmental,Defense - General,0
Carideo v. Dell (Defective Laptop Computers),"Dell, Inc.",Date of Filing,12/13/2006,Consumer Affairs,Settlement,Civil,Non-Governmental,None,Undisclosed/Unknown
Marte et al. v. General Dynamics (Unpaid Overtime),General Dynamics,Date of Complaint,10/7/2015,Labor,Pending,Civil,Non-Governmental,Homeland Security,0
Clean Water Act Violations (2007),United Technologies Corporation,Date of Plea,2/8/2007,Environment,Pleaded Guilty,Criminal,Multiple Agencies,None,12000000
Will v. General Dynamics (401(k) Fiduciary Lawsuit),General Dynamics,Date of Settlement Announcement,8/5/2010,Labor,Settlement,Civil,Non-Governmental,None,15150000
Accounting Errors Regarding U.K. Contracts,Computer Sciences Corporation,Date of Settlement Announcement,12/29/2014,Securities,Settlement,Civil,SEC,None,190938390
Parmalat v. Deloitte & Touche,Deloitte LLP,Date of Settlement Announcement,1/12/2007,Securities,Settlement,Civil,Non-Governmental,None,149000000
Pantano Wash Hazardous Waste Disposal Settlement,General Dynamics,Date of Settlement Announcement,11/10/2010,Environment,Settlement,Civil,State/Local,None,150750
U.S. ex rel. Hawkins v. ManTech International (MRAP False Claims),ManTech International Corp.,Date of First Amended Complaint,2/5/2018,Government Contract Fraud,Pending,Civil,Non-Governmental,Defense - Army,0
Cooper v. IBM (Pension Issues),IBM Corporation,Date of Settlement,9/29/2004,Labor,Settlement,Civil,Non-Governmental,Non-Governmental,320000000
